Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
466,Moritz Wagner,C,26,ORL,26,0,488,8.7,14.2,.615,1.0,3.0,.341,7.7,11.1,.689,3.8,4.9,.776,2.9,5.0,7.9,2.1,0.9,0.7,2.8,4.9,22.3,wagnemo01
467,Ish Wainright,SF,29,POR,2,0,5,0.0,7.2,.000,0.0,7.2,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,7.2,0.0,0.0,7.2,0.0,wainris01
468,Jabari Walker,SF,21,POR,26,0,457,5.6,12.1,.464,1.0,3.9,.265,4.6,8.2,.558,2.8,3.5,.778,3.2,6.7,9.9,1.3,1.5,0.8,1.7,4.5,15.0,walkeja01
469,Jarace Walker,PF,20,IND,8,0,84,5.1,12.0,.429,1.3,4.7,.273,3.9,7.3,.529,1.3,1.3,1.000,0.4,4.7,5.1,4.7,1.7,1.3,1.3,4.7,12.9,walkeja02
470,Lonnie Walker IV,SG,25,BRK,17,0,362,8.8,17.9,.489,4.4,9.4,.463,4.4,8.5,.518,2.9,3.8,.763,0.3,4.2,4.5,2.8,1.0,0.7,2.5,1.6,24.8,walkelo01
471,Cason Wallace,SG,20,OKC,25,5,545,4.6,8.0,.579,1.8,3.6,.500,2.8,4.4,.642,0.8,1.0,.800,0.8,2.9,3.7,2.3,0.9,0.7,0.9,2.8,11.8,wallaca01
472,P.J. Washington,PF,25,CHO,23,13,691,6.0,14.1,.424,2.3,7.2,.326,3.6,6.9,.526,1.7,2.2,.744,1.4,4.7,6.1,2.9,1.0,1.0,1.7,3.3,16.0,washipj01
473,TyTy Washington Jr.,PG,22,MIL,2,0,6,6.0,18.0,.333,6.0,12.0,.500,0.0,6.0,.000,0.0,0.0,,0.0,6.0,6.0,0.0,6.0,0.0,12.0,0.0,18.0,washity02
474,Yuta Watanabe,SF,29,PHO,19,0,328,3.1,8.8,.350,2.5,7.2,.348,0.5,1.5,.357,1.0,1.4,.692,1.1,3.2,4.3,1.1,0.8,0.8,1.5,3.2,9.7,watanyu01
475,Lindy Waters III,SG,26,OKC,9,0,70,4.6,11.3,.409,4.1,10.8,.381,0.5,0.5,1.000,0.0,0.0,,0.5,2.6,3.1,3.1,0.0,0.5,0.0,3.1,13.4,waterli01
476,Trendon Watford,PF,23,BRK,20,0,280,6.8,13.0,.525,0.8,2.4,.316,6.0,10.5,.573,2.1,2.3,.889,2.4,6.4,8.9,4.9,1.2,0.9,2.7,4.9,16.5,watfotr01
477,Peyton Watson,SF,21,DEN,27,0,452,5.0,9.7,.516,0.9,2.6,.333,4.1,7.1,.584,1.8,2.9,.639,1.4,4.1,5.4,2.3,1.2,2.0,1.3,3.5,12.7,watsope01
478,Victor Wembanyama,PF,20,SAS,24,24,732,8.4,19.2,.436,1.7,6.0,.281,6.7,13.2,.506,4.0,5.1,.786,2.9,10.1,12.9,3.2,1.6,3.5,4.0,3.1,22.4,wembavi01
479,Blake Wesley,SG,20,SAS,6,0,26,4.2,11.1,.375,0.0,1.4,.000,4.2,9.7,.429,1.4,2.8,.500,1.4,1.4,2.8,8.3,0.0,1.4,1.4,4.2,9.7,weslebl01
480,Russell Westbrook,PG,35,LAC,27,10,650,6.8,14.7,.459,0.9,3.5,.270,5.8,11.2,.517,2.2,3.7,.606,2.3,7.0,9.3,7.0,1.7,0.7,3.4,3.1,16.7,westbru01
481,Coby White,PG,23,CHI,29,29,1005,6.4,14.2,.449,3.3,7.7,.426,3.1,6.4,.478,2.1,2.5,.831,0.5,3.7,4.2,5.1,0.9,0.3,1.9,2.7,18.2,whiteco01
