Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
453,P.J. Tucker,PF,38,TOT,15,3,239,1.2,3.9,.316,1.0,3.3,.313,0.2,0.6,.333,0.6,0.6,1.000,3.3,5.5,8.8,1.6,1.8,0.6,0.8,7.1,4.1,,124,113,tuckepj01
453,P.J. Tucker,PF,38,PHI,3,3,66,1.5,3.7,.400,1.5,3.7,.400,0.0,0.0,,0.0,0.0,,0.7,9.5,10.2,0.0,2.2,1.5,1.5,6.6,4.4,,89,108,tuckepj01
453,P.J. Tucker,PF,38,LAC,12,0,173,1.1,4.0,.286,0.8,3.1,.273,0.3,0.8,.333,0.8,0.8,1.000,4.2,4.0,8.2,2.3,1.7,0.3,0.6,7.4,4.0,,135,115,tuckepj01
454,Myles Turner,C,27,IND,25,25,678,10.3,20.6,.503,2.3,7.1,.327,8.0,13.5,.596,5.8,7.4,.787,3.2,9.9,13.1,2.0,1.0,3.5,2.3,5.2,28.8,,120,118,turnemy01
455,Hunter Tyson,PF,23,DEN,8,0,20,2.5,9.9,.250,0.0,7.4,.000,2.5,2.5,1.000,0.0,0.0,,0.0,12.4,12.4,2.5,0.0,0.0,0.0,12.4,4.9,,70,115,tysonhu01
456,Stanley Umude,SG,24,DET,15,0,155,6.2,13.5,.455,4.3,8.3,.519,1.8,5.2,.353,6.5,7.1,.913,0.9,7.7,8.6,2.5,1.2,1.5,3.1,7.4,23.1,,123,119,umudest01
457,Jonas Valančiūnas,C,31,NOP,28,28,775,10.0,17.5,.574,1.3,3.4,.382,8.7,14.1,.621,4.5,5.6,.800,4.3,12.8,17.1,4.1,0.9,2.3,2.4,5.6,25.8,,129,110,valanjo01
458,Jarred Vanderbilt,PF,24,LAL,7,0,99,1.4,6.3,.231,0.0,3.4,.000,1.4,2.9,.500,0.5,1.0,.500,3.4,8.7,12.1,2.9,1.0,1.0,1.0,5.8,3.4,,88,113,vandeja01
459,Fred VanVleet,PG,29,HOU,24,24,924,7.4,18.7,.397,3.9,10.0,.388,3.5,8.6,.407,3.9,4.5,.881,0.4,5.2,5.6,11.6,1.4,0.7,2.1,2.5,22.7,,122,112,vanvlfr01
460,Devin Vassell,SG,23,SAS,21,15,623,10.5,22.4,.466,4.1,11.2,.369,6.3,11.2,.564,3.7,4.7,.790,0.7,4.7,5.4,4.4,1.4,0.2,2.3,1.7,28.7,,112,121,vassede01
461,Sasha Vezenkov,PF,28,SAC,23,0,322,7.6,17.4,.436,4.2,11.0,.378,3.4,6.4,.535,0.9,1.2,.750,2.7,7.1,9.8,1.8,1.8,0.9,1.2,3.7,20.2,,114,116,vezenal01
462,Gabe Vincent,PG,27,LAL,5,0,127,4.5,12.0,.375,0.8,6.4,.118,3.8,5.6,.667,0.4,0.8,.500,0.8,1.1,1.9,5.6,2.3,0.0,0.8,4.5,10.1,,100,116,vincega01
463,Nikola Vučević,C,33,CHI,29,29,994,10.2,22.7,.449,1.6,5.5,.294,8.6,17.2,.499,2.3,2.6,.865,4.2,11.1,15.3,5.0,1.2,1.1,2.5,3.9,24.3,,110,115,vucevni01
464,Dean Wade,PF,27,CLE,21,14,441,3.8,9.2,.410,3.0,8.2,.365,0.8,1.0,.778,1.2,1.6,.786,3.0,7.2,10.2,2.2,2.1,0.7,1.1,5.4,11.8,,126,112,wadede01
465,Franz Wagner,SF,22,ORL,26,26,865,10.5,23.6,.446,2.0,7.1,.283,8.5,16.5,.515,5.6,6.6,.840,1.6,6.7,8.3,5.7,1.6,0.5,2.4,3.1,28.6,,113,111,wagnefr01
466,Moritz Wagner,C,26,ORL,26,0,488,11.6,18.9,.615,1.4,4.0,.341,10.3,14.9,.689,5.1,6.6,.776,3.8,6.7,10.6,2.9,1.2,0.9,3.7,6.5,29.8,,123,112,wagnemo01
