Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
108,DeMar DeRozan,SF,34,CHI,27,982,18.9,.550,.151,.421,2.3,9.4,5.6,23.7,1.5,2.4,6.8,26.3,,1.9,0.7,2.6,.125,,1.9,-0.3,1.6,0.9,derozde01
109,Moussa Diabaté,C,22,LAC,9,55,24.8,.580,.000,.667,29.4,9.7,19.2,10.1,3.6,0.0,7.9,19.9,,0.2,0.1,0.3,.266,,4.3,-1.0,3.3,0.1,diabamo01
110,Gradey Dick,SG,20,TOR,17,227,3.2,.431,.657,.209,3.3,7.4,5.3,8.3,0.9,0.0,14.1,15.9,,-0.3,0.1,-0.2,-0.039,,-7.2,-2.0,-9.2,-0.4,dickgr01
111,Ousmane Dieng,PF,20,OKC,16,183,10.3,.565,.685,.185,4.5,11.9,8.4,11.3,0.3,0.0,9.3,15.1,,0.2,0.2,0.3,.085,,-0.8,-1.7,-2.4,0.0,diengou01
112,Spencer Dinwiddie,PG,30,BRK,26,827,15.2,.541,.548,.314,1.8,11.7,6.7,29.0,1.4,0.6,11.5,20.5,,1.3,0.5,1.8,.107,,0.5,-0.5,0.0,0.4,dinwisp01
113,Donte DiVincenzo,SG,27,NYK,27,556,15.8,.629,.722,.146,3.9,12.3,8.1,12.3,2.4,1.4,11.0,18.0,,1.0,0.7,1.7,.144,,2.2,1.2,3.4,0.8,divindo01
114,Luka Dončić,PG,24,DAL,26,962,26.8,.610,.442,.355,2.3,22.9,12.4,41.8,1.6,1.1,13.1,35.3,,2.8,1.0,3.8,.192,,7.9,0.6,8.4,2.6,doncilu01
115,Luguentz Dort,SF,24,OKC,24,671,12.0,.604,.543,.328,5.4,10.0,7.8,5.7,1.5,2.7,9.4,15.0,,0.8,0.8,1.6,.116,,-1.0,0.2,-0.8,0.2,dortlu01
116,Ayo Dosunmu,SG,24,CHI,27,564,11.4,.590,.471,.170,3.0,8.5,5.6,12.6,1.9,1.3,12.7,14.6,,0.5,0.4,0.9,.073,,-2.4,0.0,-2.4,-0.1,dosunay01
117,Andre Drummond,C,30,CHI,29,385,22.1,.545,.007,.485,22.2,35.2,28.4,6.4,3.6,2.7,14.9,22.1,,0.4,0.8,1.2,.150,,-0.4,-0.5,-0.9,0.1,drumman01
118,Chris Duarte,SF,26,SAC,23,285,5.9,.489,.588,.225,1.5,13.7,7.4,8.1,2.0,0.6,12.0,14.8,,-0.2,0.3,0.1,.011,,-6.1,0.2,-5.9,-0.3,duartch01
